field,year,papers,repos,questions,papers_growth,papers_z,papers_burst,repos_growth,repos_z,repos_burst,questions_growth,questions_z,questions_burst,csi,csi_slope,graph_degree,graph_aa_max,graph_conductance_max,target
AIAppliedMathematics,2025,4348437,65065,1654,0.18291533756216616,1.948852082438321,1.0,0.5962170649133998,2.1614933809687122,1.0,-0.7587162654996353,-1.7358131504768526,0.0,1.0,0.3005002515233399,4.0,2.164042561333445,1.1515955106264204,0
ComputationalQuantumMatter,2015,209963,28,7,,-1.2447788370965283,0.0,,-1.4103501181047748,0.0,,-1.3631243920156766,0.0,0.0,,4.0,2.164042561333445,1.1044561835637055,1
ComputationalQuantumMatter,2016,228874,67,12,0.09006825012025921,-1.1144898363464852,0.0,1.3928571428571428,-1.2991703678903412,0.0,0.7142857142857142,-1.2392039927415242,0.0,0.04876776581777592,0.04876776581777592,4.0,2.164042561333445,1.1044561835637055,1
ComputationalQuantumMatter,2017,250106,210,24,0.09276719941976808,-0.9682101015929075,0.0,2.1343283582089554,-0.8915112837707508,0.0,1.0,-0.9417950344835584,0.0,0.18104976932469116,0.13228200350691524,4.0,2.164042561333445,1.1044561835637055,1
ComputationalQuantumMatter,2018,274098,343,47,0.09592732681343108,-0.8029151036554623,0.0,0.6333333333333333,-0.5123598279112717,0.0,0.9583333333333333,-0.37176119782245726,0.0,0.3426098444294852,0.16156007510479406,4.0,2.164042561333445,1.1044561835637055,1
ComputationalQuantumMatter,2019,307601,358,57,0.12223000532656214,-0.5720932332028852,0.0,0.0437317784256559,-0.4695983855211048,0.0,0.2127659574468086,-0.12392039927415241,0.0,0.400847472623712,0.05823762819422679,4.0,2.164042561333445,1.1044561835637055,1
ComputationalQuantumMatter,2020,356992,596,113,0.1605683986723061,-0.2318095868570883,0.0,0.6648044692737429,0.20888316706954213,0.0,0.9824561403508771,1.2639880725963546,1.0,0.7388988532920041,0.3380513806682921,4.0,2.164042561333445,1.1044561835637055,0
ComputationalQuantumMatter,2021,407813,712,104,0.1423589324130512,0.1183261704861472,0.0,0.19463087248322153,0.5395716548868322,0.0,-0.07964601769911506,1.0409313539028804,1.0,0.808036047074079,0.06913719378207484,4.0,2.164042561333445,1.1044561835637055,0
ComputationalQuantumMatter,2022,488170,681,86,0.1970437430881311,0.6719528022492053,0.0,-0.0435393258426966,0.4511980072804874,0.0,-0.17307692307692313,0.5948179165159316,1.0,0.7804165573792059,-0.027619489694873045,4.0,2.164042561333445,1.1044561835637055,1
ComputationalQuantumMatter,2023,615586,688,90,0.26100743593420317,1.5497965608853144,1.0,0.010279001468428861,0.4711533470625653,0.0,0.04651162790697683,0.6939542359352535,1.0,0.8687749663760012,0.08835840899679526,4.0,2.164042561333445,1.1044561835637055,0
ComputationalQuantumMatter,2024,590578,780,120,-0.04062470556510378,1.3775017414280106,1.0,0.13372093023255816,0.7334235270555884,1.0,0.33333333333333326,1.437476631580168,1.0,1.0,0.13122503362399884,4.0,2.164042561333445,1.1044561835637055,0
ComputationalQuantumMatter,2025,567241,1287,22,-0.039515525468270085,1.2167194237026788,1.0,0.6499999999999999,2.1787602798432273,1.0,-0.8166666666666667,-0.9913631941932193,0.0,0.9843465335469976,-0.015653466453002363,4.0,2.164042561333445,1.1044561835637055,0
ComputerSystemsEngineering,2015,476985,638,32680,,-1.3468820787171136,0.0,,-1.3969721338664804,0.0,,1.3132252059253577,1.0,0.0,,4.0,2.164042561333445,1.1622776830213057,1
